Timestamp,Username,What is your current position?,In what kind of research institute do you work?,"Which of these software do you use for your Quant Analysis.  [PeptideAtlas (StPeter, Libra, XPress)]",Which of these software do you use for your Quant Analysis.  [OpenMS],Which of these software do you use for your Quant Analysis.  [Other],Which of these software do you use for your Quant Analysis.  [MSnBase (PMID:22113085)],Which of these software do you use for your Quant Analysis.  [moFF],Which of these software do you use for your Quant Analysis.  [FlashLFQ (PMID:29083185)],Which of these software do you use for your Quant Analysis.  [diffacto],Which of these software do you use for your Quant Analysis.  [Skyline],Which of these software do you use for your Quant Analysis.  [Proline (http://www.profiproteomics.fr)],Which of these software do you use for your Quant Analysis.  [MaxQuant],Which of these software do you use for your Quant Analysis.  [Philosopher (Alexey Lab)],Which of these software do you use for your Quant Analysis.  [Patterlab (PMID:26658470)],Which of these software do you use for your Quant Analysis.  [EncyclopeDIA (PMID: 30510204)],Which of these software do you use for your Quant Analysis.  [Census],Which of these software do you use for your Quant Analysis.  [HIQuant (PMID:30282776)],Which commercial software do you use for your Quant Analysis.  [Scaffold],Which commercial software do you use for your Quant Analysis.  [Peak View ],Which commercial software do you use for your Quant Analysis.  [Spectronaut],Which commercial software do you use for your Quant Analysis.  [Progenesis],Which commercial software do you use for your Quant Analysis.  [Mascot ],Which commercial software do you use for your Quant Analysis.  [Proteome Discover],Which commercial software do you use for your Quant Analysis.  [Other],Which commercial software do you use for your Quant Analysis.  [Peaks],If you use other software please add a reference here and a the URL of the tool. You can add also comments.,Which are the features that make you to chose the following software for your data analysis [moFF],Which are the features that make you to chose the following software for your data analysis [EncyclopeDIA (PMID: 30510204)],Which are the features that make you to chose the following software for your data analysis [FlashLFQ (PMID:29083185)],Which are the features that make you to chose the following software for your data analysis [Skyline],"Which are the features that make you to chose the following software for your data analysis [PeptideAtlas (StPeter, Libra, XPress)]",Which are the features that make you to chose the following software for your data analysis [MSnBase (PMID:22113085)],Which are the features that make you to chose the following software for your data analysis [Other],Which are the features that make you to chose the following software for your data analysis [Philosopher (Alexey Lab)],Which are the features that make you to chose the following software for your data analysis [OpenMS],Which are the features that make you to chose the following software for your data analysis [Patterlab (PMID:26658470)],Which are the features that make you to chose the following software for your data analysis [diffacto],Which are the features that make you to chose the following software for your data analysis [Proline (http://www.profiproteomics.fr)],Which are the features that make you to chose the following software for your data analysis [Census],Which are the features that make you to chose the following software for your data analysis [MaxQuant],Which are the features that make you to chose the following software for your data analysis [HIQuant (PMID:30282776)],"Which packages do you use for downstream analysis: normalisation, Batch effect corrections.  ",If you use another packages for downstream analysis can you add them here: URL/Citation.,Which Search engine free do you use,Search engine and type of analysis  [Tide],Search engine and type of analysis  [Sequest],Search engine and type of analysis  [MetaMorpheus],Search engine and type of analysis  [MSGF+],Search engine and type of analysis  [Andromeda],Search engine and type of analysis  [Comet],Search engine and type of analysis  [MSPepSearch],Search engine and type of analysis  [MSFragger],Search engine and type of analysis  [SpectraST ],Search engine and type of analysis  [OMSSA],Search engine and type of analysis  [X!Tandem],Search engine and type of analysis  [MSAmanda],Search engine and type of analysis  [Mascot],"Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [Label-Free Differential expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [Label-Free Base line expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [TMT Differential expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [TMT Base line expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [SRM/MR expression Experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [DIA/SWATH expression experiments]",In case you would like to see something else more represented in Proteomics resources let us know. ,
2019/02/08 1:42:21 PM GMT,user1,,,,,,,,,,,,OpenMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSstats,,,,,,,,,,,,,,,,,,,,,,,
2019/02/08 1:49:09 PM GMT,user2,,,,,,,,,,,,MaxQuant,,,,,,,,,,,,,,IMP AP-Quant (inside the free Proteome Discoverer version),,,,,,,,,,,,,,,,In house pipeline.,IMP Limma (pd-nodes.org),,,,,,,,,,,,,,,,,,,,,,
2019/02/08 1:54:35 PM GMT,user3,,,,,,,,,,,,OpenMS,,,,,,,,,,,,,,MSGF+,,,,,,,,,,,,,,,,In house pipeline.,https://github.com/lehtiolab/galaxy-workflows/blob/master/quant_proteomics.nf,,,,,,,,,,,,,,,,,,,,,,
2019/02/08 2:13:28 PM GMT,user4,,,,,,,,,,,,MaxQuant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In house pipeline.,https://github.com/OmicsWorkflows/KNIME_workflows,,,,,,,,,,,,,,,,,,,,,,
2019/02/08 3:22:10 PM GMT,user5,,,,,,,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/02/08 3:22:20 PM GMT,user6,,,,,,,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/02/08 3:23:14 PM GMT,user7,,,,,,,,,,SWATH / DIA Quant,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limma,Perseus,Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/08 3:35:22 PM GMT,user8,,,,,,,,,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSAmanda,,,,,,,,,,,,,,,,,,,,,
2019/02/08 3:37:55 PM GMT,user9,,,,,,,,,,Other Quant analysis,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,HIquant: http://www.mcponline.org/content/18/1/162,,,,,,,,,,,,,,,,In house pipeline.,We use DO-MS for optimizing our runs (https://www.biorxiv.org/content/10.1101/512152v1) and DART-ID to increase the confidence of correct PSMs (https://www.biorxiv.org/content/10.1101/399121v2) ,Comet;Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/08 3:38:30 PM GMT,user10,,,,,,,,,,,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In house pipeline.,,Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/08 3:48:14 PM GMT,user11,,,,,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R, Perseus, own software",MSGF+;Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/08 4:22:00 PM GMT,user12,,,,,,,,,,Label Free Analysis MS1;SWATH / DIA Quant,,TMT analysis;SILAC analysis;Label Free Analysis MS1,,,,,,,,,,,,,,PAW pipeline (https://github.com/pwilmart/PAW_pipeline.git) for TMT and spectral counting,,,,,,,,,,,,,,,,PAW pipeline (https://t.co/BtiFHAAKU7);Limma,edgeR (https://bioconductor.org/packages/release/bioc/html/edgeR.html),Comet,,,,,,,,,,,,,,,,,,,,,
2019/02/08 4:26:53 PM GMT,user13,,,,,,,,,,,,,,,,,,,,,,,,,,Patterlab for proteomics.http://www.patternlabforproteomics.org/Download.html Label-free spectral count analysis. Output includes normalization factors and a statisitcal method to pinpoint differentially expressed proteins. ,,,,,,,,,,,,,,,,In house pipeline.,,Comet,,,,,,,,,,,,,,,,,,,,,
