Software, Google ID, PMID
MaxQuant,3859854915781923839,19029910
MaxQuant,14534777391236704643,27809316
Perseus,11453019062768805585,27348712
OpenMS,15561337077472972559,27575624
OpenMS,151978574073716724,28559010
OpenMS,2055138931964725604,18366760
Skyline,9138245618217091178,20147306
moff,5257247018655259289,27898063
Comet,11386281381347821431,23148064
MSGF+,6855145264649873682,25358478
Andromeda,4037896458689881275,21254760
Mascot,15714945079218474912,10612281
XTandem,16748618924242772682,14976030
Trans-proteomics pipeline,7849477521103665943,20101611
Sequest,8680637795450754176,24226387
PeaksDB,562475251864440344,22186715
Myrimatch,18088394576106751546,17269722
Crux,4488552378788798201,18505281
